url,name_product,id,price
https://simple.ripley.com.pe/laptop-hp-14-dq2023la-intel-core-i3-1115g4-8gb-ram-512gb-ssd-14-2004284813088p,LAPTOP HP 14-DQ2023LA INTEL CORE I3 1115G4 8GB RAM 512GB SSD 14'',2004284813088P,"S/ 1,499"
https://simple.ripley.com.pe/macbook-air-133-apple-m1-256gb-8gb-2004267031263p,"MACBOOK AIR 13.3"" APPLE M1 256GB 8GB",2004267031263P,"S/ 5,799"
https://simple.ripley.com.pe/laptop-acer-aspire-vero-intel-core-i5-8gb-ram-512gb-ssd-156-mouse-acer-2004292268955p,LAPTOP ACER ASPIRE VERO INTEL CORE I5 8GB RAM 512GB SSD 15.6'' + MOUSE ACER,2004292268955P,"S/ 2,699"
https://simple.ripley.com.pe/laptop-hp-pavilion-14-dv0502la-core-i5-1135g7-8gb-512gb-ssd-32gb-optane-2004271667427p,LAPTOP HP PAVILION 14-DV0502LA CORE I5-1135G7 8GB 512GB SSD + 32GB OPTANE,2004271667427P,"S/ 3,999"
https://simple.ripley.com.pe/laptop-hp-14-cf2505la-intel-celeron-n4020-4gb-ram-128gb-ssd-14-2004284771913p,LAPTOP HP 14-CF2505LA INTEL CELERON N4020 4GB RAM 128GB SSD 14'',2004284771913P,"S/ 1,099"
https://simple.ripley.com.pe/laptop-asus-ux325ea-kg645w-intel-core-i5-8gb-ram-512gb-ssd-133-2004296003446p,LAPTOP ASUS UX325EA-KG645W INTEL CORE I5 8GB RAM 512GB SSD 13.3'',2004296003446P,"S/ 2,899"
https://simple.ripley.com.pe/laptop-lenovo-ideapad-gaming-3i-intel-core-i7-8gb-ram-512gb-ssd-156-2004288040947p,LAPTOP LENOVO IDEAPAD GAMING 3I INTEL CORE I7 8GB RAM 512GB SSD 15.6'',2004288040947P,"S/ 4,399"
https://simple.ripley.com.pe/laptop-lenovo-ideapad-gaming-3-amd-ryzen-7-16gb-ram-512gb-ssd-156-2004297243483p,LAPTOP LENOVO IDEAPAD GAMING 3 AMD RYZEN 7 16GB RAM 512GB SSD 15.6'',2004297243483P,"S/ 5,199"
https://simple.ripley.com.pe/laptop-hp-250-g8-intel-core-i3-4gb-ram-1tb-hdd-156-2004285094288p,LAPTOP HP 250 G8 INTEL CORE I3 4GB RAM 1TB HDD 15.6'',2004285094288P,"S/ 1,999"
https://simple.ripley.com.pe/laptop-hp-victus-16-d0505la-intel-core-i5-11400h-16gb-ram-512gb-ssd-161-2004284844242p,LAPTOP HP VICTUS 16-D0505LA INTEL CORE I5 11400H 16GB RAM 512GB SSD 16.1'',2004284844242P,"S/ 5,499"
https://simple.ripley.com.pe/laptop-lenovo-legion-5-amd-ryzen-7-16gb-ram-512gb-ssd-156-2004295780478p,LAPTOP LENOVO LEGION 5 AMD RYZEN 7 16GB RAM 512GB SSD 15.6'',2004295780478P,"S/ 4,899"
https://simple.ripley.com.pe/laptop-lenovo-ideapad-3i-intel-core-i3-8gb-ram-256gb-ssd-14-2004286061845p,LAPTOP LENOVO IDEAPAD 3I INTEL CORE I3 8GB RAM 256GB SSD 14'',2004286061845P,"S/ 1,549"
https://simple.ripley.com.pe/laptop-asus-x515ea-ej921w-intel-core-i5-8gb-ram-512gb-ssd-156-2004296230507p,LAPTOP ASUS X515EA-EJ921W INTEL CORE I5 8GB RAM 512GB SSD 15.6'',2004296230507P,"S/ 3,299"
https://simple.ripley.com.pe/laptop-asus-m515-m515ua-bq482w-amd-ryzen-7-16gb-ram-512gb-ssd-156-2004291033646p,LAPTOP ASUS M515 M515UA-BQ482W AMD RYZEN 7 16GB RAM 512GB SSD 15.6'',2004291033646P,"S/ 4,499"
https://simple.ripley.com.pe/laptop-acer-aspire-a315-58-3405-intel-core-i3-8gb-ram-256gb-ssd-156-2004292271436p,LAPTOP ACER ASPIRE A315-58-3405 INTEL CORE I3 8GB RAM 256GB SSD 15.6'',2004292271436P,"S/ 1,799"
